0,1,2,3,4,5,6,7,8,9,10
2000,How the Grinch Stole Christmas,Cast Away,Mission: Impossible II,Gladiator,What Women Want,The Perfect Storm,Meet the Parents,X-Men,Scary Movie,What Lies Beneath
2001,Harry Potter and the Sorcerer's Stone,The Lord of the Rings: The Fellowship of the Ring,Shrek,"Monsters, Inc.",Rush Hour 2,The Mummy Returns,Pearl Harbor,Ocean's Eleven,Jurassic Park III,Planet of the Apes
2002,Spider-Man,The Lord of the Rings: The Two Towers,Star Wars: Episode II - Attack of the Clones,Harry Potter and the Chamber of Secrets,My Big Fat Greek Wedding,Signs,Austin Powers in Goldmember,Men in Black II,Ice Age,Chicago
2003,The Lord of the Rings: The Return of the King,Finding Nemo,Pirates of the Caribbean: The Curse of the Black Pearl,The Matrix Reloaded,Bruce Almighty,X2,Elf,Terminator 3: Rise of the Machines,The Matrix Revolutions,Cheaper by the Dozen
2004,Shrek 2,Spider-Man 2,The Passion of the Christ,Meet the Fockers,The Incredibles,Harry Potter and the Prisoner of Azkaban,The Day After Tomorrow,The Bourne Supremacy,National Treasure,The Polar Express
2005,Star Wars: Episode III - Revenge of the Sith,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Harry Potter and the Goblet of Fire,War of the Worlds,King Kong,Wedding Crashers,Charlie and the Chocolate Factory,Batman Begins,Madagascar,Mr. & Mrs. Smith
2006,Pirates of the Caribbean: Dead Man's Chest,Night at the Museum,Cars,X-Men: The Last Stand,The Da Vinci Code,Superman Returns,Happy Feet,Ice Age: The Meltdown,Casino Royale,The Pursuit of Happyness
2007,Spider-Man 3,Shrek the Third,Transformers,Pirates of the Caribbean: At World's End,Harry Potter and the Order of the Phoenix,I Am Legend,The Bourne Ultimatum,National Treasure: Book of Secrets,Alvin and the Chipmunks,300
2008,The Dark Knight,Iron Man,Indiana Jones and the Kingdom of the Crystal Skull,Hancock,WALL·E,Kung Fu Panda,Twilight,Madagascar: Escape 2 Africa,Quantum of Solace,Horton Hears a Who!
2009,Avatar,Transformers: Revenge of the Fallen,Harry Potter and the Half-Blood Prince,The Twilight Saga: New Moon,Up,The Hangover,Star Trek,The Blind Side,Alvin and the Chipmunks: The Squeakquel,Sherlock Holmes
2010,Toy Story 3,Alice in Wonderland,Iron Man 2,The Twilight Saga: Eclipse,Harry Potter and the Deathly Hallows: Part 1,Inception,Despicable Me,Shrek Forever After,How to Train Your Dragon,Tangled
2011,Harry Potter and the Deathly Hallows: Part 2,Transformers: Dark of the Moon,The Twilight Saga: Breaking Dawn - Part 1,The Hangover Part II,Pirates of the Caribbean: On Stranger Tides,Fast Five,Mission: Impossible - Ghost Protocol,Cars 2,Sherlock Holmes: A Game of Shadows,Thor
2012,The Avengers,The Dark Knight Rises,The Hunger Games,Skyfall,The Hobbit: An Unexpected Journey,The Twilight Saga: Breaking Dawn - Part 2,The Amazing Spider-Man,Brave,Ted,Madagascar 3: Europe's Most Wanted
2013,The Hunger Games: Catching Fire,Iron Man 3,Frozen,Despicable Me 2,Man of Steel,Gravity,Monsters University,The Hobbit: The Desolation of Smaug,Fast & Furious 6,Oz the Great and Powerful
2014,American Sniper,The Hunger Games: Mockingjay - Part 1,Guardians of the Galaxy,Captain America: The Winter Soldier,The Lego Movie,The Hobbit: The Battle of the Five Armies,Transformers: Age of Extinction,Maleficent,X-Men: Days of Future Past,Big Hero 6
2015,Star Wars: Episode VII - The Force Awakens,Jurassic World,Avengers: Age of Ultron,Inside Out,Furious 7,Minions,The Hunger Games: Mockingjay - Part 2,The Martian,Cinderella,Spectre
2016,Rogue One: A Star Wars Story,Finding Dory,Captain America: Civil War,The Secret Life of Pets,The Jungle Book,Deadpool,Zootopia,Batman v Superman: Dawn of Justice,Suicide Squad,Sing
2017,Star Wars: Episode VIII - The Last Jedi,Beauty and the Beast,Wonder Woman,Jumanji: Welcome to the Jungle,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,It,Thor: Ragnarok,Despicable Me 3,Justice League
2018,Black Panther,Avengers: Infinity War,Incredibles 2,Jurassic World: Fallen Kingdom,Aquaman,Deadpool 2,The Grinch,Mission: Impossible - Fallout,Ant-Man and the Wasp,Bohemian Rhapsody
2019,Avengers: Endgame,The Lion King,Star Wars: Episode IX - The Rise of Skywalker,Frozen II,Toy Story 4,Captain Marvel,Spider-Man: Far from Home,Aladdin,Joker,Jumanji: The Next Level
2020,Bad Boys for Life,Sonic the Hedgehog,Birds of Prey,Dolittle,The Invisible Man,The Call of the Wild,Onward,The Croods: A New Age,Tenet,Wonder Woman 1984
2021,Spider-Man: No Way Home,Shang-Chi and the Legend of the Ten Rings,Venom: Let There Be Carnage,Black Widow,F9: The Fast Saga,Eternals,Sing 2,No Time to Die,A Quiet Place Part II,Ghostbusters: Afterlife
2022,Top Gun: Maverick,Avatar: The Way of Water,Black Panther: Wakanda Forever,Doctor Strange in the Multiverse of Madness,Jurassic World Dominion,Minions: The Rise of Gru,The Batman,Thor: Love and Thunder,Sonic the Hedgehog 2,Puss in Boots: The Last Wish
2023,Barbie,The Super Mario Bros. Movie,Spider-Man: Across the Spider-Verse,Guardians of the Galaxy Vol. 3,Oppenheimer,The Little Mermaid,Ant-Man and the Wasp: Quantumania,John Wick: Chapter 4,Sound of Freedom,Indiana Jones and the Dial of Destiny
